title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Ente per I Servizi Tecnico Amministrativi di Area Vasta Sud Est,,it/052,,,,,http://www.estav-sudest.toscana.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=052,Piazza Carlo Rosselli 24 - 53100 Siena (SI) Italy,,estav-sudest@postacert.toscana.it,,2013-05-04,2013-05-04
Azienda Unita' Sanitaria Locale Umbria 1,,it/054,,,,,http://www.aslumbria1.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=054,Via Guerriero Guerra  21 - 06127 Perugia (PG) Italy,,aslumbria1@postacert.umbria.it,,2013-05-04,2013-05-04
Azienda Unita' Sanitaria Locale Umbria 2,ASLUMBRIA2,it/055,,,,,http://www.aslumbria2.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=055,Viale Donato Bramante  37 - 05100 Terni (TR) Italy,,aslumbria2@postacert.umbria.it,,2013-05-04,2013-05-04
Azienda Unita' Sanitaria Locale Viterbo,,it/056,,,,,http://www.asl.vt.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=056,Via Enrico Fermi  15 - 01100 Viterbo (VT) Italy,,PROT.GEN.ASL.VT.IT@LEGALMAIL.IT,,2013-05-04,2013-05-04
Azienda Sanitaria Locale Roma G,,it/058,,,,,http://www.aslromag.info/web/,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=058,Via Acquaregna 1/15 - 00019 Tivoli (RM) Italy,,direzione.generale@pec.aslromag.it,,2013-05-04,2013-05-04
Azienda Sanitaria Provinciale N. 5 di Reggio Calabria,,it/080,,,,,http://www.asp.rc.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=080,Via Sant'anna II Tronco  18/p - 89128 Reggio Calabria (RC) Italy,,aziendasanitaria-provinciale.rc@pec.it,,2013-05-04,2013-05-04
Azienda Ospedaliera Brotzu,,it/092,,,,,http://www.aobrotzu.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=092,Piazzale A. Ricchi  1 - 09134 Cagliari (CA) Italy,,protocollo.generale@pec.aobrotzu.it,,2013-05-04,2013-05-04
Azienda Sanitaria Locale,,it/096,,,,,http://www.aslbi.piemonte.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=096,Via Marconi 23 - 13900 Biella (BI) Italy,,ufficio.protocollo@cert.aslbi.piemonte.it,,2013-05-04,2013-05-04
Comunita' Montana Valle del Liri Zona XV,,it/1CMVL,,,,,http://xvcomunitamontanalazio.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=1CMVL,Via Borgo Murata 34/b - 03032 Arce (FR) Italy,,xvcmvalledelliri@pec.it,,2013-05-04,2013-05-04
Azienda Unita' Locale Socio Sanitaria N. 13 - Regione Veneto,,it/a13_027,,,,,http://www.ulss13mirano.ven.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a13_027,Via Mariutto 76 - 30035 Mirano (VE) Italy,,Protocollo@ulss13mirano.telecompost.it,,2013-05-04,2013-05-04
Azienda Sanitaria n.13 di Novara,,it/a13_f952,,,,,http://www.asl.novara.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a13_f952,Via Dei Mille 2 - 28100 Novara (NO) Italy,,protocollogenerale@pec.asl.novara.it,,2013-05-04,2013-05-04
A.S.L. Milano 1,,it/a1_015,,,,,http://www.aslmi1.mi.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a1_015,Via Savonarola  3 - 20025 Legnano (MI) Italy,,protocollo.generale@pec.aslmi1.it,,2013-05-04,2013-05-04
Azienda Unita' Locale Socio Sanitaria N1,ULSS N 1,it/a1_025,,,,,http://ulss.belluno.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a1_025,Via Feltre N. 57 - 32100 Belluno (BL) Italy,,protocollo.ulss.belluno@pecveneto.it,,2013-05-04,2013-05-04
Azienda Sanitaria n.1 di Venosa,,it/a1_l738,,,,,http://www.asl1venosa.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a1_l738,Via Roma  187 - 85029 Venosa (PZ) Italy,,,,2013-05-04,2013-05-04
